uid,date,unlock_count,avg_session_sec,total_unlocked_sec,night_unlocks,total_dark_hrs,dark_fragments,longest_dark_streak_hrs,night_dark_hrs,convo_count,total_convo_min,avg_convo_length_min,incoming_calls,outgoing_calls,missed_calls,total_call_min,sms_sent,sms_received,charge_sessions,night_charge_hrs,avg_nearby_devices
u00,2013-03-27,5.0,7088.4,35442.0,1.0,9.275555555555556,4.0,5.495277777777778,0.0,21.0,382.85,18.23095238095238,1.0,3.0,3.0,27.75,0.0,0.0,2.0,1.6447222222222222,5.827586206896552
u00,2013-03-28,1.0,4884.0,4884.0,0.0,1.3730555555555555,1.0,1.3730555555555555,0.0,21.0,348.3666666666667,16.58888888888889,1.0,6.0,1.0,1.7166666666666666,0.0,0.0,2.0,0.0,6.818181818181818
u00,2013-03-29,6.0,6747.166666666667,40483.0,1.0,13.653333333333332,6.0,4.054166666666666,2.363888888888889,32.0,479.1166666666667,14.972395833333334,2.0,0.0,1.0,5.8,0.0,0.0,2.0,1.965,6.125
u00,2013-03-30,4.0,6648.0,26592.0,1.0,2.5391666666666666,1.0,2.5391666666666666,0.0,32.0,528.0333333333333,16.501041666666666,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.6
u00,2013-03-31,6.0,12266.5,73599.0,3.0,8.662500000000001,3.0,4.910277777777778,0.0,22.0,597.6833333333334,27.167424242424246,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.784722222222222,4.958333333333333
u00,2013-04-01,2.0,8134.5,16269.0,0.0,9.462222222222222,2.0,7.692777777777778,7.692777777777778,28.0,498.0833333333333,17.788690476190474,1.0,5.0,0.0,2.2666666666666666,0.0,3.0,1.0,1.7027777777777777,5.566666666666666
u00,2013-04-02,6.0,6567.166666666667,39403.0,0.0,10.971388888888889,5.0,3.925,0.0,38.0,452.31666666666666,11.903070175438597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8327777777777783,1.7857142857142858
u00,2013-04-03,6.0,7257.0,43542.0,1.0,15.337222222222222,7.0,4.795277777777778,3.621111111111111,33.0,526.75,15.962121212121213,1.0,2.0,1.0,1.2833333333333334,0.0,0.0,2.0,3.1230555555555557,6.0
u00,2013-04-04,4.0,8278.0,35442.0,1.0,1.1608333333333334,1.0,1.1608333333333334,0.0,24.0,222.78333333333333,9.282638888888888,0.0,2.0,1.0,13.716666666666667,0.0,0.0,1.0,0.0,3.5
u00,2013-04-05,4.0,13372.0,53488.0,1.0,5.383055555555556,3.0,2.4125,0.0,28.0,582.8666666666667,20.816666666666666,0.0,6.0,0.0,8.95,0.0,0.0,1.0,3.8327777777777783,4.958333333333333
u00,2013-04-06,4.0,15385.25,61541.0,2.0,11.059722222222222,3.0,7.7316666666666665,9.698611111111111,35.0,376.71666666666664,10.763333333333332,1.0,1.0,0.0,1.4666666666666666,0.0,0.0,1.0,9.48611111111111,4.958333333333333
u00,2013-04-07,4.0,12460.0,49840.0,2.0,13.490277777777777,3.0,8.838888888888889,11.470277777777778,31.0,384.25,12.39516129032258,0.0,3.0,0.0,0.5333333333333333,0.0,0.0,1.0,8.807222222222222,4.958333333333333
u00,2013-04-08,6.0,8045.333333333333,48272.0,2.0,15.078888888888889,7.0,4.9927777777777775,2.5166666666666666,37.0,475.65,12.855405405405405,0.0,7.0,0.0,31.266666666666666,0.0,0.0,2.0,0.0,6.3478260869565215
